country_name,iso3c,date_latest_pub,risk_of_distress,joint_w_wb,date_latest_exec_board_not_published,country_notes,dsa_list_date
NA,NA,NA,28/06/2021,NA,NA,,2024-10-31
NA,NA,NA,24/06/2024,NA,NA,,2024-10-31
NA,NA,NA,05/01/2024,NA,NA,,2024-10-31
NA,NA,NA,19/09/2024,NA,NA,,2024-10-31
NA,NA,NA,29/07/2024,NA,NA,,2024-10-31
NA,NA,NA,25/07/2023,NA,NA,,2024-10-31
NA,NA,NA,31/01/2024,NA,NA,,2024-10-31
NA,NA,NA,22/02/2024,NA,NA,,2024-10-31
NA,NA,NA,16/01/2024,NA,NA,,2024-10-31
NA,NA,NA,28/06/2024,NA,NA,,2024-10-31
NA,NA,NA,23/01/2023,NA,NA,,2024-10-31
NA,NA,NA,08/01/2024,NA,NA,,2024-10-31
NA,NA,NA,29/07/2024,NA,NA,,2024-10-31
NA,NA,NA,29/07/2024,NA,NA,,2024-10-31
NA,NA,NA,15/07/2024,NA,NA,,2024-10-31
NA,NA,NA,04/06/2024,NA,NA,,2024-10-31
NA,NA,NA,05/07/2023,NA,NA,,2024-10-31
NA,NA,NA,NA,NA,NA,,2024-10-31
NA,NA,NA,29/07/2024,NA,NA,,2024-10-31
NA,NA,NA,18/01/2024,NA,NA,,2024-10-31
NA,NA,NA,11/07/2024,NA,NA,,2024-10-31
NA,NA,NA,19/07/2023,NA,NA,,2024-10-31
NA,NA,NA,17/05/2024,NA,NA,,2024-10-31
NA,NA,NA,12/12/2023,NA,NA,,2024-10-31
NA,NA,NA,07/02/2023,NA,NA,,2024-10-31
NA,NA,NA,22/09/2023,NA,NA,,2024-10-31
NA,NA,NA,01/11/2024,NA,NA,,2024-10-31
NA,NA,NA,10/05/2024,NA,NA,,2024-10-31
NA,NA,NA,04/03/2024,NA,NA,,2024-10-31
NA,NA,NA,22/05/2023,NA,NA,,2024-10-31
NA,NA,NA,11/09/2024,NA,NA,,2024-10-31
NA,NA,NA,14/09/2022,NA,NA,,2024-10-31
NA,NA,NA,10/07/2024,NA,NA,,2024-10-31
NA,NA,NA,22/11/2023,NA,NA,,2024-10-31
NA,NA,NA,13/05/2024,NA,NA,,2024-10-31
NA,NA,NA,14/06/2023,NA,NA,,2024-10-31
NA,NA,NA,26/10/2023,NA,NA,,2024-10-31
NA,NA,NA,22/12/2023,NA,NA,,2024-10-31
NA,NA,NA,04/03/2024,NA,NA,,2024-10-31
NA,NA,NA,19/12/2023,NA,NA,,2024-10-31
NA,NA,NA,12/07/2024,NA,NA,,2024-10-31
NA,NA,NA,28/01/2021,NA,NA,,2024-10-31
NA,NA,NA,15/07/2024,NA,NA,,2024-10-31
NA,NA,NA,19/01/2024,NA,NA,,2024-10-31
NA,NA,NA,24/07/2024,NA,NA,,2024-10-31
NA,NA,NA,06/12/2023,NA,NA,,2024-10-31
NA,NA,NA,18/12/2023,NA,NA,,2024-10-31
NA,NA,NA,15/03/2023,NA,NA,,2024-10-31
NA,NA,NA,20/09/2022,NA,NA,,2024-10-31
NA,NA,NA,07/07/2023,NA,NA,,2024-10-31
NA,NA,NA,27/11/2023,NA,NA,,2024-10-31
NA,NA,NA,12/05/2023,NA,NA,,2024-10-31
NA,NA,NA,10/06/2024,NA,NA,,2024-10-31
NA,NA,NA,10/06/2024,NA,NA,,2024-10-31
NA,NA,NA,22/07/2024,NA,NA,,2024-10-31
NA,NA,NA,01/07/2021,NA,NA,,2024-10-31
NA,NA,NA,02/04/2024,NA,NA,,2024-10-31
NA,NA,NA,25/06/2024,NA,NA,,2024-10-31
NA,NA,NA,27/02/2024,NA,NA,,2024-10-31
NA,NA,NA,23/09/2024,NA,NA,,2024-10-31
NA,NA,NA,03/11/2023,NA,NA,,2024-10-31
NA,NA,NA,21/07/2023,NA,NA,,2024-10-31
NA,NA,NA,11/09/2024,NA,NA,,2024-10-31
NA,NA,NA,22/06/2022,NA,NA,,2024-10-31
NA,NA,NA,03/09/2024,NA,NA,,2024-10-31
NA,NA,NA,24/09/2014,NA,NA,,2024-10-31
NA,NA,NA,26/06/2024,NA,NA,,2024-10-31
NA,NA,NA,08/04/2022,NA,NA,,2024-10-31
